family_id,name_en,source_category,image_filename
"crab--imitation-crab-nugget","IMITATION CRAB NUGGET","Crab",""
"others--mini-cheese-stick","MINI CHEESE STICK","Others",""
"chicken--chicken-slice","CHICKEN SLICE","Chicken",""
"others--lobster-ball","LOBSTER BALL","Others",""
"others--fish-finger","FISH FINGER","Others",""
"others--tofu-sandwich","TOFU SANDWICH","Others",""
"others--king-fish-ball","KING FISH BALL","Others",""
"others--mini-fish-ball","MINI FISH BALL","Others",""
"crab--kanimi-chunk-crab-leg","KANIMI CHUNK (CRAB LEG)","Crab",""
"others--seafood-stick","SEAFOOD STICK","Others",""
"prawn--japanese-breaded-prawn","JAPANESE BREADED PRAWN","Prawn",""
"chicken--japanese-chicken-dumpling","JAPANESE CHICKEN DUMPLING","Chicken",""
"others--herbal-soup-dumpling-8pcs","HERBAL SOUP DUMPLING (8PCS)","Others",""
"others--longevity-peach-steamed-bun-lotus-seed-9pcs","LONGEVITY PEACH STEAMED BUN (LOTUS SEED) (9PCS)","Others",""
"others--original-steamed-bread-20pcs","ORIGINAL STEAMED BREAD (20PCS)","Others",""
"others--puchok-goreng-thin","PUCHOK GORENG (THIN)","Others",""
"others--lobster-flavoured-fish-ball","LOBSTER FLAVOURED FISH BALL","Others",""
"others--seafood-products-4-in-1","SEAFOOD PRODUCTS 4 IN 1","Others",""
"others--fish-ball-aaa","FISH BALL (AAA)","Others",""
"chicken--chicken-cheese-cocktail","CHICKEN CHEESE COCKTAIL","Chicken",""
"chicken--chicken-frankfurter-honey","CHICKEN FRANKFURTER HONEY","Chicken",""
"chicken--chicken-frankfurter-cheese","CHICKEN FRANKFURTER CHEESE","Chicken",""
"others--glutinous-peanut-rice-ball","GLUTINOUS PEANUT RICE BALL","Others",""
"others--glutinous-red-bean-rice-ball","GLUTINOUS RED BEAN RICE BALL","Others",""
"others--glutinous-sesame-rice-ball","GLUTINOUS SESAME RICE BALL","Others",""
"chicken--crispy-golden-hot-and-spicy-fried-chicken","CRISPY GOLDEN HOT & SPICY FRIED CHICKEN","Chicken",""
"others--flavorlast-thick","FLAVORLAST THICK","Others",""
"others--surecrisp-flavourlast","SURECRISP FLAVOURLAST","Others",""
"others--fresh-peel-whole-kernel","FRESH PEEL WHOLE KERNEL","Others",""
"others--crispy-pickled-vege-chilli","CRISPY PICKLED VEGE CHILLI","Others",""
"shell--premium-scallop-powder","PREMIUM SCALLOP POWDER","Shell",""
"shell--vegetarian-fried-pleurotus-abalone-mushroom","VEGETARIAN FRIED PLEUROTUS (ABALONE MUSHROOM)","Shell",""
"squid--vegetarian-squid-ring-20-ring","VEGETARIAN SQUID RING (20 RING)","Squid",""
"others--bbq-flavoured-vege-meatloaf","BBQ FLAVOURED VEGE MEATLOAF","Others",""
"others--g-flavoured-vege-meatloaf","G FLAVOURED VEGE MEATLOAF","Others",""
"fresh-juice--honey-strawberry-smoothie","HONEY STRAWBERRY SMOOTHIE","Fresh Juice",""
"fresh-juice--superior-cocoa-milkshake","SUPERIOR COCOA MILKSHAKE","Fresh Juice",""
"others--thailand-coconut-shake","THAILAND COCONUT SHAKE","Others",""
